date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-10-17,15.48,15.7,15.69,15.45,83280.41,0.24,1.55,15.696,15.499,15.43,110739.99,92519.28,90840.12,0.54
2017-10-16,15.69,15.75,15.45,15.4,83059.8,-0.24,-1.53,15.68,15.45,15.419,119713.22,90880.66,92283.88,0.54
2017-10-13,15.84,15.9,15.69,15.68,77036.0,-0.16,-1.01,15.652,15.442,15.416,115969.74,95229.99,92597.11,0.5
2017-10-12,15.76,15.98,15.85,15.65,134165.03,0.05,0.32,15.548,15.453,15.401,109127.39,106498.39,93892.03,0.87
2017-10-11,15.53,15.95,15.8,15.5,176158.69,0.19,1.22,15.406,15.413,15.372,93712.56,104779.67,93826.38,1.14
2017-10-10,15.31,15.69,15.61,15.29,128146.57,0.3,1.96,15.302,15.366,15.337,74298.58,96350.34,89802.32,0.83
2017-10-09,15.31,15.46,15.31,15.21,64342.4,0.14,0.92,15.22,15.33,15.322,62048.1,90094.39,88655.76,0.42
2017-09-29,15.2,15.27,15.17,15.16,42824.27,0.03,0.2,15.232,15.323,15.316,74490.23,88063.49,88617.83,0.28
2017-09-28,15.21,15.29,15.14,15.13,57090.85,-0.14,-0.92,15.358,15.323,15.318,103869.39,89809.5,90886.89,0.37
2017-09-27,15.32,15.59,15.28,15.2,79088.8,0.08,0.53,15.42,15.341,15.321,115846.77,91274.26,93463.08,0.51
2017-09-26,15.35,15.35,15.2,15.12,66894.19,-0.17,-1.11,15.43,15.361,15.326,118402.11,89160.96,95961.55,0.43
2017-09-25,15.82,15.82,15.37,15.35,126553.05,-0.43,-2.72,15.44,15.388,15.329,118140.69,93687.09,96309.95,0.82
2017-09-22,15.46,15.83,15.8,15.37,189720.06,0.35,2.27,15.414,15.389,15.329,101636.76,89964.23,95702.75,1.23
2017-09-21,15.29,15.55,15.45,15.28,116977.77,0.12,0.78,15.288,15.349,15.297,75749.61,81285.67,89906.28,0.76
2017-09-20,15.25,15.43,15.33,15.13,91865.47,0.08,0.53,15.262,15.33,15.283,66701.75,82873.1,90558.59,0.6
2017-09-19,15.19,15.36,15.25,15.18,65587.09,0.01,0.07,15.292,15.307,15.266,59919.8,83254.29,91523.35,0.43
2017-09-18,15.16,15.27,15.24,15.13,44033.39,0.07,0.46,15.336,15.314,15.27,69233.5,87217.13,95496.97,0.29
2017-09-15,15.36,15.37,15.17,15.12,60284.34,-0.15,-0.98,15.364,15.308,15.281,78291.7,89172.17,109216.5,0.39
2017-09-14,15.41,15.46,15.32,15.29,71738.47,-0.16,-1.03,15.41,15.312,15.288,86821.72,91964.29,115688.14,0.46
2017-09-13,15.5,15.54,15.48,15.3,57955.73,0.01,0.07,15.398,15.3,15.274,99044.45,95651.91,124746.78,0.38
2017-09-12,15.36,15.63,15.47,15.34,112155.58,0.09,0.58,15.322,15.29,15.225,106588.78,102762.15,124123.84,0.73
2017-09-11,15.4,15.6,15.38,15.33,89324.37,-0.02,-0.13,15.292,15.27,15.177,105200.76,98932.8,122338.84,0.58
2017-09-08,15.23,15.47,15.4,15.23,102934.47,0.14,0.92,15.252,15.269,15.127,100052.64,101441.28,121085.72,0.67
2017-09-07,15.09,15.47,15.26,15.09,132852.09,0.16,1.06,15.214,15.245,15.076,97106.85,98526.89,121053.65,0.86
2017-09-06,15.28,15.29,15.1,15.05,95677.37,-0.22,-1.44,15.202,15.235,15.027,92259.36,98244.07,116905.51,0.62
2017-09-05,15.17,15.35,15.32,15.12,105215.49,0.14,0.92,15.258,15.225,14.994,98935.53,99792.41,114795.54,0.68
2017-09-04,15.1,15.25,15.18,15.09,63583.76,-0.03,-0.2,15.248,15.226,14.956,92664.84,103776.81,111837.13,0.41
2017-09-01,15.2,15.29,15.21,15.07,88205.54,0.01,0.07,15.286,15.254,14.921,102829.93,129260.83,111144.92,0.57
2017-08-31,15.31,15.41,15.2,15.07,108614.65,-0.18,-1.17,15.276,15.264,14.879,99946.94,139411.99,111296.47,0.7
2017-08-30,15.5,15.85,15.38,15.36,129058.2,0.11,0.72,15.268,15.248,14.848,104228.78,153841.65,108960.29,0.84
2017-08-29,15.37,15.44,15.27,15.25,73862.03,-0.1,-0.65,15.192,15.16,14.825,100649.29,145485.53,106498.78,0.48
2017-08-28,15.11,15.47,15.37,15.11,114409.23,0.21,1.39,15.204,15.084,14.815,114888.79,145744.89,106820.42,0.74
2017-08-25,15.12,15.24,15.16,15.0,73790.59,0.0,0.0,15.222,14.985,14.8,155691.73,140730.15,107567.4,0.48
2017-08-24,15.22,15.34,15.16,15.03,130023.84,0.16,1.07,15.252,14.906,14.782,178877.04,143580.4,106514.54,0.84
2017-08-23,15.22,15.28,15.0,14.98,111160.78,-0.33,-2.15,15.228,14.818,14.767,203454.53,135566.95,103994.83,0.72
2017-08-22,15.36,15.65,15.33,15.2,145059.52,-0.13,-0.84,15.128,14.762,14.748,190321.77,129798.67,101319.4,0.94
2017-08-21,16.1,16.38,15.46,15.43,318423.91,0.15,0.98,14.964,14.686,14.714,176600.98,119897.45,97700.98,2.06
2017-08-18,14.98,15.46,15.31,14.92,189717.17,0.27,1.79,14.748,14.588,14.682,125768.58,93029.02,85970.48,1.23
2017-08-17,14.65,15.18,15.04,14.6,252911.25,0.54,3.72,14.56,14.494,14.659,108283.76,83180.95,80973.01,1.64
2017-08-16,14.4,14.55,14.5,14.37,45497.01,-0.01,-0.07,14.408,14.448,14.651,67679.37,64078.93,72656.2,0.29
2017-08-15,14.35,14.65,14.51,14.31,76455.55,0.13,0.9,14.396,14.489,14.675,69275.57,67512.02,74994.71,0.5
2017-08-14,14.2,14.4,14.38,14.11,64261.92,0.01,0.07,14.408,14.545,14.69,63193.91,67895.95,76993.57,0.42
2017-08-11,14.26,14.48,14.37,14.01,102293.06,0.09,0.63,14.428,14.615,14.712,60289.45,74404.66,85135.7,0.66
2017-08-10,14.48,14.53,14.28,14.2,49889.33,-0.16,-1.11,14.428,14.657,14.784,58078.15,69448.67,87072.98,0.32
2017-08-09,14.58,14.6,14.44,14.42,53477.99,-0.13,-0.89,14.488,14.716,14.88,60478.49,72422.7,90367.85,0.35
2017-08-08,14.5,14.62,14.57,14.37,46047.26,0.09,0.62,14.582,14.734,14.965,65748.47,72840.13,98950.42,0.3
2017-08-07,14.32,14.55,14.48,14.28,49739.61,0.11,0.77,14.682,14.742,15.061,72597.99,75504.51,115065.85,0.32
2017-08-04,14.67,14.68,14.37,14.35,91236.55,-0.21,-1.44,14.802,14.776,15.147,88519.86,78911.95,124513.71,0.59
2017-08-03,14.79,14.79,14.58,14.5,61891.03,-0.15,-1.02,14.886,14.823,15.216,80819.19,78765.07,125677.7,0.4
2017-08-02,15.1,15.11,14.91,14.85,79827.91,-0.16,-1.06,14.944,14.854,15.274,84366.92,81233.46,132181.0,0.52
2017-08-01,15.08,15.21,15.07,14.97,80294.86,-0.01,-0.07,14.886,14.861,15.333,79931.78,82477.39,133610.1,0.52
2017-07-31,14.79,15.22,15.08,14.75,129348.95,0.29,1.96,14.802,14.834,15.385,78411.02,86091.19,139562.51,0.84
2017-07-28,14.86,14.94,14.79,14.76,52733.22,-0.08,-0.54,14.75,14.809,15.446,69304.05,95866.74,140761.81,0.34
2017-07-27,14.68,14.91,14.87,14.61,79629.67,0.25,1.71,14.76,14.911,15.519,76710.94,104697.29,148755.14,0.52
2017-07-26,14.63,14.76,14.62,14.56,57652.21,-0.03,-0.2,14.764,15.043,15.579,78100.0,108313.0,150987.86,0.37
2017-07-25,14.84,14.86,14.65,14.59,72691.04,-0.17,-1.15,14.836,15.196,15.646,85023.0,125060.72,157984.71,0.47
2017-07-24,14.78,14.93,14.82,14.75,83814.1,-0.02,-0.14,14.866,15.379,15.729,93771.36,154627.2,171670.2,0.54
2017-07-21,14.88,14.98,14.84,14.79,89767.68,-0.05,-0.34,14.868,15.518,15.768,122429.42,170115.47,176416.41,0.58
2017-07-20,14.95,15.12,14.89,14.86,86574.99,-0.09,-0.6,15.062,15.609,15.795,132683.64,172590.33,178261.06,0.56
2017-07-19,14.74,15.02,14.98,14.61,92267.19,0.18,1.22,15.322,15.693,15.818,138526.0,183128.53,186250.89,0.6
2017-07-18,14.7,14.93,14.8,14.43,116432.84,-0.03,-0.2,15.556,15.804,15.835,165098.44,184742.82,189746.68,0.75
2017-07-17,15.7,15.7,14.83,14.23,227104.41,-0.98,-6.2,15.892,15.935,15.848,215483.04,193033.83,188703.0,1.47
2017-07-14,16.19,16.25,15.81,15.8,141038.77,-0.38,-2.35,16.168,16.082,15.866,217801.52,185656.88,182351.17,0.91
2017-07-13,16.17,16.28,16.19,15.95,115786.81,0.04,0.25,16.156,16.126,15.826,212497.02,192812.98,180120.44,0.75
2017-07-12,16.37,16.45,16.15,15.85,225129.38,-0.33,-2.0,16.064,16.114,15.769,227731.05,193662.71,181001.92,1.46
2017-07-11,16.15,16.67,16.48,15.93,368355.81,0.27,1.67,16.052,16.095,15.718,204387.19,190908.71,180884.17,2.39
2017-07-10,15.85,16.34,16.21,15.8,238696.81,0.46,2.92,15.978,16.078,15.636,170584.63,188713.2,166576.48,1.55
