date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,-0.49,1.68,1.877,1.786,2.237,2.011
2017-10-16,-4.89,3.95,1.92,2.036,2.215,2.047
2017-10-13,-0.81,1.81,1.1,1.578,1.952,1.945
2017-10-12,-0.95,1.49,1.473,1.696,1.997,2.014
2017-10-11,4.86,2.93,1.53,1.946,1.983,2.081
2017-10-10,0.08,1.66,1.353,2.102,1.831,2.141
2017-10-09,0.41,2.4,1.713,2.062,1.887,2.368
2017-09-29,-2.06,2.74,2.15,1.846,1.888,2.484
2017-09-28,5.44,3.71,1.723,1.75,1.899,2.466
2017-09-27,-1.99,1.46,0.927,1.278,1.778,2.323
2017-09-26,1.1,1.32,1.193,1.268,2.014,2.33
2017-09-25,2.5,2.26,1.203,1.448,2.389,2.303
2017-09-22,-0.64,1.35,0.92,1.478,2.577,2.211
2017-09-21,-1.45,1.41,1.21,1.778,2.689,2.247
2017-09-20,-0.57,2.22,1.543,1.996,2.704,2.251
2017-09-19,-2.87,2.41,1.753,2.316,2.639,2.233
2017-09-18,4.09,2.85,1.783,2.848,2.49,2.235
2017-09-15,-3.69,2.5,2.107,3.106,2.292,2.266
2017-09-14,4.02,3.82,2.963,3.1,2.232,2.303
2017-09-13,2.19,5.07,3.07,2.648,1.996,2.233
2017-09-12,7.13,4.14,2.203,1.948,1.684,2.126
2017-09-11,4.99,2.47,1.343,1.304,1.515,1.965
2017-09-08,-1.94,1.56,1.043,0.984,1.599,2.141
2017-09-07,-0.97,1.57,0.83,1.052,1.748,2.112
2017-09-06,0.21,0.92,0.597,1.03,1.868,2.176
2017-09-05,-0.03,0.87,0.923,1.236,2.123,2.255
2017-09-04,-2.73,1.9,1.12,1.552,2.209,2.302
2017-09-01,-0.4,1.46,1.137,1.834,2.53,2.275
2017-08-31,0.03,1.95,1.467,2.152,2.496,2.315
2017-08-30,2.17,2.45,1.92,2.316,2.554,2.369
2017-08-29,4.12,3.31,2.12,2.52,2.519,2.441
2017-08-28,3.8,3.05,1.94,2.204,2.346,2.475
2017-08-25,3.98,2.77,2.08,2.616,2.19,2.47
2017-08-24,-3.46,3.47,1.733,2.286,2.12,2.543
2017-08-23,0.61,1.73,2.28,2.098,2.048,2.457
2017-08-22,-4.2,5.11,2.077,2.172,2.229,2.551
2017-08-21,-1.06,1.12,1.217,1.466,2.099,2.371
2017-08-18,1.85,2.53,1.543,1.54,2.285,2.515
2017-08-17,-0.92,2.1,1.227,1.448,2.419,2.768
2017-08-16,-0.4,1.58,1.023,1.578,2.426,3.053
2017-08-15,-1.05,1.49,1.187,1.97,2.582,3.187
2017-08-14,0.61,2.07,1.607,2.434,2.674,3.211
2017-08-11,-2.19,2.75,2.097,2.616,2.796,3.179
2017-08-10,1.17,3.54,2.45,2.84,3.153,3.229
2017-08-09,3.99,3.81,2.263,2.566,3.436,3.372
2017-08-08,-1.29,2.98,2.283,2.432,3.415,3.245
2017-08-07,6.42,3.87,2.013,2.318,3.301,3.215
2017-08-04,-1.29,2.17,1.77,2.202,3.074,3.155
2017-08-03,-2.62,3.14,1.85,3.032,3.207,3.467
2017-08-02,-0.72,2.41,1.9,3.678,3.461,3.39
2017-08-01,-0.12,3.29,3.203,3.916,3.41,3.376
2017-07-31,7.09,6.32,4.23,3.626,3.334,3.451
2017-07-28,6.41,6.37,3.323,2.682,3.0,3.176
2017-07-27,0.54,3.6,1.813,2.108,3.048,2.824
2017-07-26,1.01,1.84,1.147,2.524,2.886,2.698
2017-07-25,-0.9,1.6,1.7,2.536,2.922,2.733
2017-07-24,-0.85,3.5,3.06,2.722,3.203,2.757
2017-07-21,9.36,5.68,2.527,2.618,3.073,2.603
2017-07-20,1.7,1.9,1.477,2.852,2.614,2.412
2017-07-19,-0.12,2.53,1.837,2.868,2.595,2.345
2017-07-18,-0.35,2.98,3.277,2.802,2.578,2.257
2017-07-17,-10.01,6.85,2.943,3.088,2.476,2.13
2017-07-14,-0.91,1.98,1.393,2.158,1.911,1.765
2017-07-13,1.46,2.2,2.203,1.98,1.994,1.926
2017-07-12,3.42,4.41,2.203,1.882,1.864,2.039
2017-07-11,1.0,2.2,1.097,1.472,1.544,1.979
2017-07-10,0.52,1.09,0.933,1.424,1.431,1.937
2017-07-07,-1.18,1.71,1.357,1.446,1.46,1.905
2017-07-06,-0.95,2.36,1.44,1.666,1.728,1.885
2017-07-05,0.11,1.96,1.053,1.374,1.882,1.798
2017-07-04,-0.62,1.2,1.337,1.224,2.037,1.738
2017-07-03,3.31,2.81,1.237,1.198,2.073,1.731
2017-06-30,0.53,0.9,0.703,0.912,1.854,1.629
2017-06-29,-0.9,1.21,0.76,1.61,1.905,1.715
2017-06-28,-0.85,1.07,0.817,2.148,1.889,1.731
2017-06-27,0.34,1.38,1.923,2.636,1.888,1.773
2017-06-26,1.71,4.39,2.763,2.672,1.859,1.764
2017-06-23,4.64,3.9,2.47,1.918,1.549,1.514
2017-06-22,-1.56,3.51,1.69,1.42,1.378,1.321
2017-06-21,3.01,1.56,0.727,0.928,1.172,1.153
2017-06-20,0.73,0.62,0.677,0.828,1.186,1.113
2017-06-19,-1.48,1.41,0.82,0.922,1.248,1.116
2017-06-16,-0.04,1.05,0.703,0.898,1.171,1.095
2017-06-15,0.4,1.06,0.717,1.126,1.167,1.108
2017-06-14,-1.19,1.09,0.793,1.204,1.159,1.097
2017-06-13,-1.25,1.29,1.16,1.326,1.147,1.204
2017-06-12,2.24,2.19,1.213,1.316,1.084,1.246
2017-06-09,0.12,1.45,1.05,1.006,0.974,1.167
2017-06-08,0.48,1.7,0.98,0.918,0.954,1.108
2017-06-07,1.47,1.24,0.627,0.774,0.874,1.073
2017-06-06,1.83,0.64,0.55,0.72,1.019,1.125
2017-06-05,1.52,1.01,0.663,0.724,1.147,1.215
2017-06-02,0.17,0.98,0.65,0.74,1.147,1.231
2017-06-01,-2.43,0.97,0.543,0.794,1.105,1.247
2017-05-31,-0.49,0.66,0.583,0.78,1.125,1.278
2017-05-26,-0.04,1.09,0.78,1.186,1.261,1.324
2017-05-25,1.79,1.25,0.717,1.352,1.352,1.325
2017-05-24,0.08,0.9,1.197,1.304,1.351,1.324
2017-05-23,2.09,2.69,1.537,1.236,1.383,1.348
2017-05-22,-1.72,1.92,0.977,0.932,1.258,1.286
2017-05-19,-0.71,1.01,0.523,0.952,1.201,1.328
2017-05-18,0.04,0.56,0.577,1.15,1.211,1.655
2017-05-17,-1.71,1.17,1.063,1.286,1.278,1.712
2017-05-16,2.89,2.02,1.34,1.296,1.287,1.777
2017-05-15,3.7,2.0,1.08,1.18,1.261,1.782
2017-05-12,-0.39,1.24,0.82,1.05,1.316,1.838
2017-05-11,0.43,1.22,0.887,1.024,1.783,2.017
2017-05-10,-3.16,1.44,0.93,1.026,1.803,2.333
