date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-02-07,3154.4,3159.54,3153.09,3140.04,1283374.38,-3.89,-0.12,3151.792,3137.573,3138.408,1147422.13,1210343.65,1482841.97
2017-02-06,3143.09,3158.84,3156.98,3135.39,1271982.88,16.81,0.54,3149.684,3133.141,3137.55,1142695.0,1218164.08,1489456.84
2017-02-03,3160.08,3162.68,3140.17,3136.01,922247.38,-19.0,-0.6,3145.642,3127.786,3134.882,1153619.2,1348851.79,1492491.26
2017-01-26,3149.22,3163.1,3159.17,3148.91,1138767.75,9.62,0.3,3142.236,3125.045,3132.679,1213903.28,1412901.26,1512690.54
2017-01-25,3137.65,3151.47,3149.55,3133.19,1120738.25,7.0,0.22,3130.662,3121.057,3129.832,1233852.58,1447913.73,1523615.69
2017-01-24,3134.59,3149.53,3142.55,3131.22,1259738.75,5.78,0.18,3123.354,3119.777,3128.088,1273265.18,1514202.13,1538343.25
2017-01-23,3125.42,3145.84,3136.77,3125.42,1326603.88,13.63,0.44,3116.598,3121.689,3127.089,1293633.15,1567987.46,1551642.25
2017-01-20,3095.82,3125.66,3123.14,3095.21,1223667.75,21.84,0.7,3109.93,3125.136,3125.758,1544084.37,1607041.15,1568400.44
2017-01-19,3104.97,3115.78,3101.3,3094.01,1238514.25,-11.71,-0.38,3107.854,3128.254,3126.579,1611899.25,1668383.34,1591119.55
2017-01-18,3104.77,3123.72,3113.01,3098.59,1317801.25,4.24,0.14,3111.452,3134.665,3128.385,1661974.87,1719259.56,1622547.14
2017-01-17,3087.03,3108.91,3108.77,3072.34,1361578.62,5.34,0.17,3116.2,3139.243,3127.879,1755139.07,1755340.29,1635370.46
2017-01-16,3104.49,3105.14,3103.43,3044.29,2578860.0,-9.33,-0.3,3126.78,3141.958,3128.345,1842341.77,1760749.61,1644376.39
2017-01-13,3116.08,3130.51,3112.76,3102.16,1562742.12,-6.53,-0.21,3140.342,3141.979,3129.322,1669997.92,1636130.74,1597927.74
2017-01-12,3133.6,3144.97,3119.29,3115.98,1488892.38,-17.46,-0.56,3148.654,3140.313,3129.568,1724867.42,1612479.81,1614785.94
2017-01-11,3156.69,3167.03,3136.75,3136.27,1783622.25,-24.92,-0.79,3157.878,3138.608,3130.63,1776544.25,1599317.66,1641020.77
2017-01-10,3167.57,3174.58,3161.67,3157.33,1797592.12,-9.57,-0.3,3162.286,3136.399,3131.545,1755541.5,1562484.38,1644421.91
2017-01-09,3148.53,3173.14,3171.24,3147.74,1717140.75,16.92,0.54,3157.136,3132.489,3131.109,1679157.45,1535297.04,1691896.53
2017-01-06,3163.78,3172.03,3154.32,3153.03,1837089.62,-11.09,-0.35,3143.616,3126.38,3134.192,1602263.55,1529759.74,1708051.46
2017-01-05,3157.91,3168.5,3165.41,3154.28,1747276.5,6.62,0.21,3131.972,3124.904,3137.244,1500092.2,1513855.77,1701552.07
2017-01-04,3133.79,3160.1,3158.79,3130.11,1678608.5,22.87,0.73,3119.338,3122.106,3140.086,1422091.08,1525834.73,1698724.67
2017-01-03,3105.31,3136.46,3135.92,3105.31,1415671.88,32.28,1.04,3110.512,3116.515,3142.129,1369427.25,1515400.64,1693580.59
2016-12-30,3097.35,3108.84,3103.64,3089.99,1332671.25,7.54,0.24,3107.842,3114.731,3145.568,1391436.63,1528003.16,1734302.19
2016-12-29,3095.84,3111.8,3096.1,3087.34,1326232.88,-6.14,-0.2,3109.144,3116.665,3152.578,1457255.93,1559724.74,1797452.23
2016-12-28,3113.77,3118.78,3102.24,3094.55,1357270.88,-12.42,-0.4,3117.836,3118.823,3161.439,1527619.33,1617092.08,1850020.53
2016-12-27,3117.39,3127.88,3114.66,3113.75,1415289.38,-7.91,-0.25,3124.874,3122.652,3168.828,1629578.38,1682723.88,1903945.01
2016-12-26,3095.58,3122.88,3122.57,3068.42,1525718.75,12.42,0.4,3122.518,3126.69,3177.241,1661374.02,1726359.44,1993598.68
2016-12-23,3134.93,3138.4,3110.15,3103.75,1661767.75,-29.41,-0.94,3121.62,3129.73,3184.963,1664569.7,1848496.01,2058088.36
2016-12-22,3132.16,3143.17,3139.56,3126.89,1678049.88,2.13,0.07,3124.186,3142.003,3192.552,1662193.55,1886343.19,2091960.78
2016-12-21,3107.24,3140.25,3137.43,3107.24,1867066.12,34.55,1.11,3119.81,3149.584,3197.661,1706564.82,1889248.37,2124220.54
2016-12-20,3115.9,3117.01,3102.88,3084.8,1574267.62,-15.2,-0.49,3120.43,3158.065,3202.847,1735869.37,1871614.61,2155847.04
2016-12-19,3120.7,3125.28,3118.08,3110.08,1541697.12,-4.9,-0.16,3130.862,3167.742,3210.12,1791344.85,1871760.54,2207949.43
