date,p_change,TOR,TOR_3,TOR_5,TOR_10,TOR_15
2017-10-17,0.44,0.94,1.027,1.53,1.745,1.589
2017-10-16,-2.65,2.14,1.887,1.692,1.814,1.611
2017-10-13,2.5,3.52,1.523,1.56,1.678,1.549
2017-10-12,0.11,1.05,0.933,1.346,1.415,1.388
2017-10-11,-2.13,1.75,1.077,1.736,1.447,1.501
2017-10-10,0.43,1.48,1.31,1.61,1.444,1.527
2017-10-09,0.54,2.45,1.817,1.64,1.422,1.605
2017-09-29,2.76,3.0,1.373,1.306,1.298,1.601
2017-09-28,-1.09,1.12,0.917,0.884,1.109,1.519
2017-09-27,1.55,1.63,0.803,0.934,1.272,1.567
2017-09-26,0.11,0.78,0.557,0.952,1.323,1.613
2017-09-25,-0.88,0.89,0.753,1.048,1.509,1.719
2017-09-22,0.89,1.37,1.03,1.112,1.659,1.821
2017-09-21,-1.53,1.72,0.993,1.06,1.699,1.993
2017-09-20,0.55,1.26,0.823,1.266,1.712,2.29
2017-09-19,-0.76,1.21,0.773,1.442,1.818,2.573
2017-09-18,0.99,1.11,1.287,1.728,1.933,2.589
2017-09-15,-1.63,2.75,1.63,1.984,2.065,2.619
2017-09-14,0.22,2.14,1.593,1.788,2.184,2.536
2017-09-13,-0.86,2.64,1.677,1.73,2.588,2.463
2017-09-12,-1.8,2.39,1.387,1.666,2.874,2.373
2017-09-11,0.53,1.77,1.207,1.66,2.78,2.352
2017-09-08,0.32,1.85,1.39,1.792,2.759,2.463
2017-09-07,-1.37,2.32,1.56,2.21,2.725,2.454
2017-09-06,-0.42,2.36,1.597,2.982,2.597,2.421
2017-09-05,-1.24,2.43,2.123,3.61,2.49,2.448
2017-09-04,-1.23,3.94,3.373,3.414,2.455,2.369
2017-09-01,3.82,6.18,3.893,2.938,2.405,2.183
2017-08-31,4.2,5.5,2.317,2.004,1.958,1.863
2017-08-30,0.56,1.45,1.003,1.112,1.591,1.621
2017-08-29,-0.99,1.56,1.023,1.08,1.722,1.654
2017-08-28,0.55,1.51,0.85,1.184,1.691,1.651
2017-08-25,0.67,1.04,0.777,1.57,1.654,1.658
2017-08-24,-1.1,1.29,1.123,1.704,1.688,1.719
2017-08-23,-2.47,2.08,1.84,1.812,1.746,1.874
2017-08-22,2.42,3.44,1.717,1.948,1.733,1.892
2017-08-21,0.55,1.71,1.18,1.51,1.541,1.821
2017-08-18,-1.63,1.83,1.53,1.396,1.531,1.819
2017-08-17,2.92,2.76,1.337,1.306,1.543,1.841
2017-08-16,1.13,1.25,0.797,1.128,1.629,1.895
2017-08-15,-0.79,1.14,0.84,1.268,1.739,1.899
2017-08-14,1.6,1.38,1.083,1.344,1.862,1.893
2017-08-11,0.46,1.87,1.273,1.39,1.892,1.891
2017-08-10,-3.22,1.95,1.157,1.406,1.922,1.844
2017-08-09,0.45,1.52,1.043,1.74,2.084,1.805
2017-08-08,-1.1,1.61,1.187,1.906,2.062,1.802
2017-08-07,0.33,1.95,1.857,2.058,2.006,1.783
2017-08-04,0.0,3.62,1.99,2.004,1.946,1.735
2017-08-03,1.46,2.35,1.573,1.714,1.701,1.67
2017-08-02,1.14,2.37,1.35,1.958,1.603,1.628
2017-08-01,-1.24,1.68,1.283,1.744,1.513,1.603
2017-07-31,-0.22,2.17,1.913,1.618,1.477,1.683
2017-07-28,4.2,3.57,1.623,1.454,1.384,1.685
2017-07-27,0.7,1.3,0.783,0.974,1.291,1.612
2017-07-26,-0.58,1.05,0.8,0.988,1.333,1.767
2017-07-25,-2.06,1.35,0.84,1.072,1.427,2.073
2017-07-24,-0.11,1.17,0.847,1.066,1.58,2.083
2017-07-21,-1.46,1.37,0.947,1.08,1.683,2.117
2017-07-20,0.45,1.47,0.93,1.334,1.794,2.21
2017-07-19,0.91,1.32,0.853,1.384,2.009,2.25
2017-07-18,0.69,1.24,1.293,1.518,2.442,2.282
2017-07-17,-6.05,2.64,1.453,1.846,2.467,2.4
2017-07-14,-2.01,1.72,1.237,1.758,2.371,2.357
2017-07-13,-0.73,1.99,1.623,1.91,2.476,2.359
2017-07-12,1.82,2.88,1.693,2.236,2.484,2.39
2017-07-11,-1.99,2.2,1.56,2.79,2.376,2.436
2017-07-10,-1.54,2.48,2.033,2.648,2.457,2.585
2017-07-07,0.83,3.62,3.09,2.488,2.409,2.647
2017-07-06,4.21,5.65,2.38,2.318,2.222,2.599
2017-07-05,0.65,1.49,1.057,1.602,1.902,2.439
2017-07-04,-1.6,1.68,1.483,1.664,2.11,2.763
2017-07-03,1.63,2.77,1.613,1.93,2.385,3.287
2017-06-30,0.77,2.07,1.29,1.776,2.449,3.286
2017-06-29,0.77,1.8,1.603,1.712,2.532,3.449
2017-06-28,-2.89,3.01,1.67,1.842,2.677,3.665
2017-06-27,-1.69,2.0,1.25,1.954,3.011,4.048
2017-06-26,0.85,1.75,1.4,2.44,3.765,4.393
2017-06-23,-2.29,2.45,2.007,2.772,3.866,4.75
2017-06-22,-3.41,3.57,2.667,2.862,4.073,5.213
2017-06-21,1.63,4.43,2.613,2.798,4.22,5.5
2017-06-20,0.31,3.41,2.103,3.182,4.652,5.824
2017-06-19,-0.61,2.9,2.05,4.408,5.028,6.301
2017-06-16,-1.01,3.25,3.2,4.38,5.449,7.393
2017-06-15,0.0,6.35,5.297,4.634,6.064,8.421
2017-06-14,7.0,9.54,4.1,4.372,6.216,8.717
2017-06-13,1.31,2.76,2.427,4.214,6.191,8.903
2017-06-12,-4.18,4.52,3.187,5.096,6.972,9.047
2017-06-09,-2.65,5.04,4.597,5.614,8.448,9.057
2017-06-08,0.2,8.75,5.307,6.486,9.811,8.98
2017-06-07,3.81,7.17,4.76,6.31,10.015,8.873
2017-06-06,-3.77,7.11,5.503,6.734,10.531,8.61
2017-06-05,3.92,9.4,5.757,7.426,10.311,8.591
2017-06-02,4.88,7.87,5.72,9.402,9.838,8.161
2017-06-01,-7.68,9.29,6.62,11.562,9.44,7.823
2017-05-31,-3.56,10.57,9.95,11.862,9.226,7.377
2017-05-26,-2.03,19.28,12.65,12.214,8.491,6.795
2017-05-25,10.01,18.67,9.82,9.34,7.245,5.658
2017-05-24,5.98,10.79,7.707,6.54,5.673,4.589
2017-05-23,1.96,12.33,5.747,5.16,4.875,4.265
2017-05-22,10.0,4.91,3.193,4.124,3.901,3.649
2017-05-19,2.73,4.67,2.853,3.786,3.594,3.521
2017-05-18,-2.66,3.89,3.68,4.216,3.35,3.364
2017-05-17,-1.0,7.15,3.457,4.028,3.224,3.281
2017-05-16,1.79,3.22,3.347,3.16,3.102,2.946
2017-05-15,-9.15,6.82,3.257,3.034,3.089,2.85
2017-05-12,-10.01,2.95,1.92,2.038,2.707,2.582
2017-05-11,-4.29,2.81,1.8,1.894,2.643,2.519
2017-05-10,-0.1,2.59,1.477,1.858,2.626,2.613
2017-05-09,-0.69,1.84,1.357,2.526,2.58,2.943
2017-05-08,-4.45,2.23,1.62,2.776,2.574,3.224
2017-05-05,-3.03,2.63,2.853,2.93,2.631,3.79
2017-05-04,5.72,5.93,3.007,2.866,2.569,4.815
2017-05-03,-1.72,3.09,2.03,2.208,2.398,5.087
2017-05-02,4.07,3.0,1.77,2.016,2.842,5.056
2017-04-28,1.0,2.31,1.65,1.772,3.148,5.192
